GEO_ID,NAME,S2701_C01_001E,S2701_C02_001E
id,Geographic Area Name,Estimate!!Total!!Civilian noninstitutionalized population,Estimate!!Insured!!Civilian noninstitutionalized population
13001,"Appling County, Georgia",17976,15216
13003,"Atkinson County, Georgia",8217,6364
13005,"Bacon County, Georgia",10465,8307
13007,"Baker County, Georgia",3132,2770
13009,"Baldwin County, Georgia",43432,38270
13011,"Banks County, Georgia",18689,15834
13013,"Barrow County, Georgia",78857,67471
13015,"Bartow County, Georgia",103876,88424
13017,"Ben Hill County, Georgia",16642,13686
13019,"Berrien County, Georgia",18877,14597
13021,"Bibb County, Georgia",149723,130354
13023,"Bleckley County, Georgia",12434,11251
13025,"Brantley County, Georgia",18645,15913
13027,"Brooks County, Georgia",15494,12691
13029,"Bryan County, Georgia",35690,31916
13031,"Bulloch County, Georgia",75305,65265
13033,"Burke County, Georgia",22284,19533
13035,"Butts County, Georgia",21244,18904
13037,"Calhoun County, Georgia",4447,3689
13039,"Camden County, Georgia",49044,43047
13043,"Candler County, Georgia",10553,8237
13045,"Carroll County, Georgia",115960,101663
13047,"Catoosa County, Georgia",66207,58621
13049,"Charlton County, Georgia",11859,9488
13051,"Chatham County, Georgia",280698,240799
13053,"Chattahoochee County, Georgia",6021,5648
13055,"Chattooga County, Georgia",23107,19826
13057,"Cherokee County, Georgia",246374,219880
13059,"Clarke County, Georgia",125443,108562
13061,"Clay County, Georgia",2898,2435
13063,"Clayton County, Georgia",279870,228356
13065,"Clinch County, Georgia",6597,5314
13067,"Cobb County, Georgia",746238,654420
13069,"Coffee County, Georgia",39642,32272
13071,"Colquitt County, Georgia",45058,35557
13073,"Columbia County, Georgia",146892,135335
13075,"Cook County, Georgia",17080,14014
13077,"Coweta County, Georgia",142697,128837
13079,"Crawford County, Georgia",12189,10602
13081,"Crisp County, Georgia",22303,18799
13083,"Dade County, Georgia",15973,14010
13085,"Dawson County, Georgia",24322,21374
13087,"Decatur County, Georgia",25375,20717
13089,"DeKalb County, Georgia",743368,639465
13091,"Dodge County, Georgia",18900,16912
13093,"Dooly County, Georgia",12384,10317
13095,"Dougherty County, Georgia",87791,73348
13097,"Douglas County, Georgia",142126,123741
13099,"Early County, Georgia",10158,8448
13101,"Echols County, Georgia",3981,3047
13103,"Effingham County, Georgia",59827,54506
13105,"Elbert County, Georgia",18934,16432
13107,"Emanuel County, Georgia",21749,17907
13109,"Evans County, Georgia",10153,8435
13111,"Fannin County, Georgia",25238,21739
13113,"Fayette County, Georgia",111684,103624
13115,"Floyd County, Georgia",95194,82383
13117,"Forsyth County, Georgia",227772,207684
13119,"Franklin County, Georgia",22557,19233
13121,"Fulton County, Georgia",1026404,920665
13123,"Gilmer County, Georgia",30217,24197
13125,"Glascock County, Georgia",2915,2704
13127,"Glynn County, Georgia",83446,71688
13129,"Gordon County, Georgia",56666,47972
13131,"Grady County, Georgia",24639,20020
13133,"Greene County, Georgia",17195,14615
13135,"Gwinnett County, Georgia",910143,759725
13137,"Habersham County, Georgia",42978,36165
13139,"Hall County, Georgia",197765,163481
13141,"Hancock County, Georgia",6054,5396
13143,"Haralson County, Georgia",28880,25322
13145,"Harris County, Georgia",33448,31173
13147,"Hart County, Georgia",24835,21841
13149,"Heard County, Georgia",11587,10203
13151,"Henry County, Georgia",224123,200956
13153,"Houston County, Georgia",149785,132419
13155,"Irwin County, Georgia",9190,7495
13157,"Jackson County, Georgia",67179,59247
13159,"Jasper County, Georgia",13825,12145
13161,"Jeff Davis County, Georgia",14941,12195
13163,"Jefferson County, Georgia",15164,12922
13165,"Jenkins County, Georgia",8717,7246
13167,"Johnson County, Georgia",9081,7821
13169,"Jones County, Georgia",28298,25502
13171,"Lamar County, Georgia",18417,16094
13173,"Lanier County, Georgia",9700,8285
13175,"Laurens County, Georgia",46528,41203
13177,"Lee County, Georgia",28446,25588
13179,"Liberty County, Georgia",55089,48936
13181,"Lincoln County, Georgia",7769,6803
13183,"Long County, Georgia",17822,15072
13185,"Lowndes County, Georgia",109929,93592
13187,"Lumpkin County, Georgia",32075,28356
13189,"McDuffie County, Georgia",21094,18548
13191,"McIntosh County, Georgia",14033,11940
13193,"Macon County, Georgia",11267,9160
13195,"Madison County, Georgia",29006,24624
13197,"Marion County, Georgia",8332,7444
13199,"Meriwether County, Georgia",21019,18116
13201,"Miller County, Georgia",5625,4772
13205,"Mitchell County, Georgia",19990,16554
13207,"Monroe County, Georgia",26086,22960
13209,"Montgomery County, Georgia",8583,7332
13211,"Morgan County, Georgia",18322,16264
13213,"Murray County, Georgia",39495,33744
13215,"Muscogee County, Georgia",185535,164148
13217,"Newton County, Georgia",107131,93242
13219,"Oconee County, Georgia",37924,35395
13221,"Oglethorpe County, Georgia",14802,12998
13223,"Paulding County, Georgia",158996,140665
13225,"Peach County, Georgia",27013,23541
13227,"Pickens County, Georgia",31090,27787
13229,"Pierce County, Georgia",19074,16057
13231,"Pike County, Georgia",18073,15706
13233,"Polk County, Georgia",41735,35182
13235,"Pulaski County, Georgia",9676,8293
13237,"Putnam County, Georgia",21488,18483
13239,"Quitman County, Georgia",2289,1749
13241,"Rabun County, Georgia",16407,13555
13243,"Randolph County, Georgia",6863,5947
13245,"Richmond County, Georgia",191532,166571
13247,"Rockdale County, Georgia",88912,76730
13249,"Schley County, Georgia",5221,4478
13251,"Screven County, Georgia",13591,11756
13253,"Seminole County, Georgia",8212,6895
13255,"Spalding County, Georgia",64205,54917
13257,"Stephens County, Georgia",25750,22272
13259,"Stewart County, Georgia",4081,3416
13261,"Sumter County, Georgia",29156,25684
13263,"Talbot County, Georgia",6302,5359
13265,"Taliaferro County, Georgia",1609,1430
13267,"Tattnall County, Georgia",19039,16382
13269,"Taylor County, Georgia",8046,6634
13271,"Telfair County, Georgia",12814,11559
13273,"Terrell County, Georgia",8379,6979
13275,"Thomas County, Georgia",44003,37444
13277,"Tift County, Georgia",40057,32537
13279,"Toombs County, Georgia",26722,21844
13281,"Towns County, Georgia",11440,10083
13283,"Treutlen County, Georgia",6454,5148
13285,"Troup County, Georgia",68479,60370
13287,"Turner County, Georgia",7650,6664
13289,"Twiggs County, Georgia",8166,7386
13291,"Union County, Georgia",22725,19828
13293,"Upson County, Georgia",25712,22666
13295,"Walker County, Georgia",67530,59233
13297,"Walton County, Georgia",90570,79950
13299,"Ware County, Georgia",33195,27782
13301,"Warren County, Georgia",5225,4548
13303,"Washington County, Georgia",18532,16443
13305,"Wayne County, Georgia",27735,23559
13307,"Webster County, Georgia",2606,2393
13309,"Wheeler County, Georgia",7706,6053
13311,"White County, Georgia",29310,26068
13313,"Whitfield County, Georgia",103393,86200
13315,"Wilcox County, Georgia",6746,5602
13317,"Wilkes County, Georgia",9754,8321
13319,"Wilkinson County, Georgia",8925,8054
13321,"Worth County, Georgia",20332,16585